index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/25 18:58:50.901, 39.86 W, 0 %, 1316 MHz, 36, 0 MiB
0, 2018/08/25 18:58:51.906, 39.86 W, 0 %, 1316 MHz, 36, 359 MiB
0, 2018/08/25 18:58:52.911, 39.86 W, 0 %, 1316 MHz, 36, 359 MiB
0, 2018/08/25 18:58:53.918, 39.86 W, 0 %, 1316 MHz, 36, 359 MiB
0, 2018/08/25 18:58:54.922, 39.86 W, 0 %, 1316 MHz, 36, 359 MiB
0, 2018/08/25 18:58:55.927, 39.85 W, 0 %, 1316 MHz, 36, 487 MiB
0, 2018/08/25 18:58:56.931, 40.10 W, 0 %, 1316 MHz, 36, 489 MiB
0, 2018/08/25 18:58:57.935, 88.92 W, 12 %, 1189 MHz, 36, 5115 MiB
0, 2018/08/25 18:58:58.940, 40.59 W, 0 %, 1328 MHz, 37, 5115 MiB
0, 2018/08/25 18:58:59.944, 97.93 W, 28 %, 1328 MHz, 38, 5115 MiB
0, 2018/08/25 18:59:00.948, 40.34 W, 0 %, 1328 MHz, 37, 5115 MiB
0, 2018/08/25 18:59:01.952, 96.16 W, 4 %, 1328 MHz, 37, 5115 MiB
0, 2018/08/25 18:59:02.956, 41.32 W, 42 %, 1328 MHz, 38, 5115 MiB
0, 2018/08/25 18:59:03.960, 41.08 W, 42 %, 1328 MHz, 38, 5115 MiB
0, 2018/08/25 18:59:04.964, 41.06 W, 42 %, 1328 MHz, 38, 5115 MiB
0, 2018/08/25 18:59:05.969, 87.01 W, 28 %, 1328 MHz, 38, 5115 MiB
0, 2018/08/25 18:59:06.973, 41.08 W, 41 %, 1328 MHz, 38, 5115 MiB
0, 2018/08/25 18:59:07.976, 41.30 W, 41 %, 1328 MHz, 38, 5115 MiB
0, 2018/08/25 18:59:08.980, 47.16 W, 34 %, 1328 MHz, 39, 5115 MiB
0, 2018/08/25 18:59:09.986, 81.17 W, 19 %, 1328 MHz, 39, 5115 MiB
0, 2018/08/25 18:59:10.990, 135.10 W, 6 %, 1328 MHz, 39, 5115 MiB
0, 2018/08/25 18:59:11.994, 42.52 W, 38 %, 1328 MHz, 39, 5115 MiB
0, 2018/08/25 18:59:12.998, 41.56 W, 42 %, 1328 MHz, 39, 5115 MiB
0, 2018/08/25 18:59:14.003, 58.61 W, 20 %, 1328 MHz, 40, 5115 MiB
0, 2018/08/25 18:59:15.007, 46.91 W, 29 %, 1328 MHz, 39, 5115 MiB
0, 2018/08/25 18:59:16.010, 147.72 W, 0 %, 1328 MHz, 39, 5115 MiB
0, 2018/08/25 18:59:17.014, 101.93 W, 26 %, 1328 MHz, 39, 5115 MiB
0, 2018/08/25 18:59:18.020, 41.08 W, 42 %, 1328 MHz, 39, 5115 MiB
0, 2018/08/25 18:59:19.024, 43.50 W, 30 %, 1328 MHz, 39, 5115 MiB
0, 2018/08/25 18:59:20.028, 41.79 W, 38 %, 1328 MHz, 40, 5115 MiB
0, 2018/08/25 18:59:21.032, 41.30 W, 42 %, 1328 MHz, 39, 5115 MiB
0, 2018/08/25 18:59:22.037, 41.54 W, 42 %, 1328 MHz, 40, 5115 MiB
0, 2018/08/25 18:59:23.041, 41.32 W, 42 %, 1328 MHz, 40, 5115 MiB
0, 2018/08/25 18:59:24.045, 151.49 W, 0 %, 1328 MHz, 40, 5115 MiB
0, 2018/08/25 18:59:25.048, 41.30 W, 42 %, 1328 MHz, 39, 5115 MiB
0, 2018/08/25 18:59:26.054, 158.86 W, 0 %, 1328 MHz, 40, 5115 MiB
0, 2018/08/25 18:59:27.058, 41.79 W, 36 %, 1328 MHz, 40, 5115 MiB
0, 2018/08/25 18:59:28.062, 150.71 W, 13 %, 1328 MHz, 40, 5115 MiB
0, 2018/08/25 18:59:29.066, 41.30 W, 42 %, 1328 MHz, 40, 5115 MiB
0, 2018/08/25 18:59:30.072, 88.37 W, 3 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:31.075, 113.05 W, 29 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:32.079, 43.74 W, 20 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:33.083, 41.79 W, 29 %, 1328 MHz, 40, 5115 MiB
0, 2018/08/25 18:59:34.089, 65.90 W, 0 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:35.093, 46.92 W, 3 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:36.096, 45.45 W, 15 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:37.100, 159.65 W, 21 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:38.109, 110.17 W, 19 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:39.113, 139.96 W, 35 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:40.117, 41.56 W, 41 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:41.123, 65.90 W, 18 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:42.127, 52.99 W, 12 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:43.131, 50.79 W, 4 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:44.135, 154.65 W, 36 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:45.141, 71.96 W, 35 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:46.144, 106.80 W, 7 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:47.148, 116.71 W, 30 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:48.152, 41.79 W, 42 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:49.158, 42.03 W, 38 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:50.163, 44.47 W, 7 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:51.167, 42.03 W, 10 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:52.171, 99.32 W, 38 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:53.175, 118.42 W, 9 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:54.179, 42.05 W, 10 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:55.183, 127.08 W, 33 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:56.187, 41.79 W, 42 %, 1328 MHz, 41, 5115 MiB
0, 2018/08/25 18:59:57.192, 42.52 W, 0 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:58.196, 42.28 W, 0 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 18:59:59.200, 42.03 W, 40 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 19:00:00.204, 74.39 W, 0 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 19:00:01.209, 42.28 W, 13 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 19:00:02.213, 42.05 W, 0 %, 1328 MHz, 42, 5115 MiB
0, 2018/08/25 19:00:03.217, 43.50 W, 42 %, 1328 MHz, 42, 5115 MiB
