index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/27 22:52:00.629, 29.73 W, 0 %, 1189 MHz, 34, 0 MiB
0, 2018/08/27 22:52:01.645, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/27 22:52:02.648, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/27 22:52:03.652, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/27 22:52:04.656, 30.93 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/27 22:52:05.660, 30.93 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/27 22:52:06.664, 30.95 W, 4 %, 1189 MHz, 35, 485 MiB
0, 2018/08/27 22:52:07.667, 30.93 W, 0 %, 1189 MHz, 35, 485 MiB
0, 2018/08/27 22:52:08.671, 30.95 W, 7 %, 1189 MHz, 35, 1005 MiB
0, 2018/08/27 22:52:09.675, 135.37 W, 100 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:10.680, 137.09 W, 2 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:11.684, 150.34 W, 16 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:12.687, 36.28 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:13.691, 36.53 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:14.698, 36.53 W, 39 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:15.702, 37.01 W, 41 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:16.706, 36.53 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:17.709, 36.53 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:18.716, 36.28 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:19.720, 36.53 W, 11 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:20.723, 36.53 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:21.727, 36.53 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:22.731, 37.99 W, 40 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:23.735, 36.77 W, 40 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:24.739, 129.24 W, 9 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:25.743, 36.28 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:26.746, 36.53 W, 27 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:27.752, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:28.756, 36.77 W, 10 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:29.759, 36.54 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:30.763, 36.28 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:31.770, 36.53 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:32.774, 31.19 W, 0 %, 1189 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:33.777, 33.85 W, 0 %, 1290 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:34.781, 156.06 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:35.785, 36.04 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/27 22:52:36.823, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:37.827, 37.01 W, 16 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:38.831, 36.77 W, 19 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:39.835, 36.76 W, 2 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:40.838, 157.18 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:41.842, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:42.846, 37.50 W, 12 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:43.850, 36.77 W, 11 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:44.854, 157.27 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:45.858, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:46.864, 94.64 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:47.867, 60.01 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:48.871, 36.53 W, 12 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:49.875, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/27 22:52:50.881, 36.53 W, 38 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:51.885, 36.53 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:52.889, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:53.893, 66.81 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:54.897, 36.53 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:55.901, 36.53 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:56.905, 36.77 W, 40 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:57.908, 36.77 W, 1 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:58.912, 156.21 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:52:59.918, 36.53 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:53:00.924, 36.77 W, 20 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:53:01.927, 36.77 W, 40 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:53:02.931, 139.14 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:53:03.936, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:53:04.940, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:53:05.944, 122.18 W, 3 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:53:06.947, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:53:07.955, 37.01 W, 28 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:08.958, 37.01 W, 21 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:53:09.962, 40.66 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:10.966, 37.01 W, 4 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:11.973, 36.77 W, 19 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:12.976, 37.01 W, 39 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:13.980, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/27 22:53:14.984, 36.77 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:15.988, 36.77 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:16.991, 149.24 W, 23 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:17.995, 36.77 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:18.999, 87.15 W, 38 %, 1328 MHz, 40, 5625 MiB
0, 2018/08/27 22:53:20.002, 37.99 W, 40 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:21.009, 37.01 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:22.012, 36.77 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:23.016, 36.77 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:24.020, 37.26 W, 40 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:25.027, 37.26 W, 40 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:26.031, 36.77 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:27.034, 37.02 W, 29 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:28.038, 37.01 W, 19 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:29.045, 37.01 W, 19 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:30.049, 91.76 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:31.052, 37.01 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:32.056, 36.77 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:33.063, 37.01 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:34.067, 37.01 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:35.071, 36.77 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:36.075, 154.53 W, 3 %, 1328 MHz, 40, 5625 MiB
0, 2018/08/27 22:53:37.079, 37.01 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:38.083, 36.77 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:39.086, 90.03 W, 15 %, 1328 MHz, 40, 5625 MiB
0, 2018/08/27 22:53:40.090, 139.61 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:41.094, 37.01 W, 8 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:42.100, 37.01 W, 4 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:43.104, 37.26 W, 40 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:44.107, 37.01 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:45.111, 37.50 W, 40 %, 1328 MHz, 40, 5625 MiB
0, 2018/08/27 22:53:46.115, 150.16 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:47.119, 37.01 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:48.122, 37.26 W, 40 %, 1328 MHz, 40, 5625 MiB
0, 2018/08/27 22:53:49.126, 88.12 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:50.130, 37.01 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/27 22:53:51.145, 54.48 W, 0 %, 1328 MHz, 40, 5625 MiB
