index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/07 17:20:43.465, 29.73 W, 0 %, 1189 MHz, 35, 0 MiB
0, 2018/08/07 17:20:44.482, 30.93 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 17:20:45.486, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 17:20:46.492, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 17:20:47.496, 30.95 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 17:20:48.499, 30.95 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 17:20:49.503, 30.95 W, 0 %, 1189 MHz, 36, 485 MiB
0, 2018/08/07 17:20:50.507, 31.19 W, 9 %, 1189 MHz, 35, 925 MiB
0, 2018/08/07 17:20:51.510, 65.63 W, 99 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:20:52.514, 36.04 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:20:53.517, 66.36 W, 39 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:20:54.521, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:20:55.525, 37.50 W, 43 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:20:56.530, 143.98 W, 25 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:20:57.534, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:20:58.537, 36.77 W, 28 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:20:59.541, 95.40 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:21:00.548, 36.77 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:21:01.551, 48.67 W, 41 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:02.555, 36.77 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:21:03.559, 36.53 W, 3 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:21:04.562, 36.77 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:21:05.566, 36.78 W, 4 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:06.570, 67.29 W, 30 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:07.574, 37.50 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:08.577, 36.78 W, 9 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:09.583, 153.72 W, 12 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/07 17:21:10.587, 39.45 W, 42 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:11.591, 151.15 W, 4 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:12.594, 36.77 W, 1 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:13.598, 36.78 W, 43 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:14.602, 133.51 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:15.605, 38.48 W, 43 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/07 17:21:16.609, 142.38 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:17.613, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:18.617, 37.01 W, 42 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/07 17:21:19.621, 139.65 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:21:20.624, 37.01 W, 12 %, 1328 MHz, 39, 5625 MiB
