index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
1, 2018/08/08 17:12:37.557, 27.78 W, 0 %, 455 MHz, 35, 0 MiB
1, 2018/08/08 17:12:38.575, 31.19 W, 0 %, 1189 MHz, 35, 359 MiB
1, 2018/08/08 17:12:39.579, 31.19 W, 0 %, 1189 MHz, 35, 359 MiB
1, 2018/08/08 17:12:40.583, 31.19 W, 0 %, 1189 MHz, 35, 359 MiB
1, 2018/08/08 17:12:41.587, 31.19 W, 0 %, 1189 MHz, 35, 359 MiB
1, 2018/08/08 17:12:42.591, 31.19 W, 0 %, 1189 MHz, 35, 359 MiB
1, 2018/08/08 17:12:43.594, 31.19 W, 4 %, 1189 MHz, 35, 485 MiB
1, 2018/08/08 17:12:44.598, 31.19 W, 0 %, 1189 MHz, 35, 485 MiB
1, 2018/08/08 17:12:45.602, 31.19 W, 0 %, 1189 MHz, 36, 485 MiB
1, 2018/08/08 17:12:46.605, 31.19 W, 8 %, 1189 MHz, 36, 975 MiB
1, 2018/08/08 17:12:47.609, 54.03 W, 99 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:12:48.613, 36.56 W, 41 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:12:49.620, 144.27 W, 0 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:12:50.624, 36.56 W, 41 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:12:51.627, 36.55 W, 23 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:12:52.631, 36.31 W, 0 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:12:53.635, 36.31 W, 0 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:12:54.639, 36.31 W, 0 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:12:55.642, 36.31 W, 41 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:12:56.646, 150.32 W, 0 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:12:57.649, 36.31 W, 0 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:12:58.653, 36.31 W, 0 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:12:59.657, 36.56 W, 26 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:13:00.660, 34.85 W, 43 %, 1316 MHz, 37, 5113 MiB
1, 2018/08/08 17:13:01.664, 36.06 W, 0 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:13:02.668, 36.31 W, 0 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:13:03.671, 36.31 W, 0 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:13:04.675, 36.31 W, 0 %, 1328 MHz, 37, 5113 MiB
1, 2018/08/08 17:13:05.678, 36.31 W, 0 %, 1328 MHz, 37, 5113 MiB
