index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/07 17:08:58.004, 29.49 W, 0 %, 1189 MHz, 36, 0 MiB
0, 2018/08/07 17:08:59.017, 30.95 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 17:09:00.020, 30.95 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 17:09:01.027, 30.95 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 17:09:02.030, 30.95 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 17:09:03.034, 30.95 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 17:09:04.038, 30.95 W, 0 %, 1189 MHz, 36, 485 MiB
0, 2018/08/07 17:09:05.041, 30.95 W, 1 %, 1189 MHz, 36, 901 MiB
0, 2018/08/07 17:09:06.045, 30.95 W, 0 %, 1189 MHz, 36, 915 MiB
0, 2018/08/07 17:09:07.049, 30.95 W, 6 %, 1189 MHz, 36, 967 MiB
0, 2018/08/07 17:09:08.053, 38.72 W, 100 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:09.056, 73.62 W, 39 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:10.060, 36.79 W, 4 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:11.064, 36.53 W, 30 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:12.068, 64.18 W, 38 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:13.072, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:14.075, 127.81 W, 28 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:15.079, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:16.083, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:17.087, 36.77 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:18.091, 36.53 W, 4 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:19.095, 36.77 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:20.100, 36.77 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:21.104, 37.01 W, 43 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:22.108, 46.97 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/07 17:09:23.112, 36.78 W, 5 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:24.119, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:25.122, 64.17 W, 37 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/07 17:09:26.126, 36.77 W, 4 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:27.130, 36.53 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:28.136, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:29.140, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:30.144, 36.78 W, 38 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:31.147, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:32.151, 69.00 W, 26 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/07 17:09:33.155, 86.67 W, 21 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/07 17:09:34.158, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:35.162, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:36.165, 37.01 W, 42 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:37.169, 36.78 W, 42 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:38.173, 37.01 W, 34 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:39.177, 38.48 W, 39 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/07 17:09:40.180, 144.96 W, 0 %, 1328 MHz, 39, 5625 MiB
0, 2018/08/07 17:09:41.184, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:42.191, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/07 17:09:43.193, 84.72 W, 14 %, 1328 MHz, 39, 5625 MiB
