index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
1, 2018/08/08 16:55:56.014, 27.80 W, 0 %, 518 MHz, 35, 0 MiB
1, 2018/08/08 16:55:57.030, 31.19 W, 0 %, 1189 MHz, 35, 359 MiB
1, 2018/08/08 16:55:58.033, 31.19 W, 0 %, 1189 MHz, 35, 359 MiB
1, 2018/08/08 16:55:59.038, 31.19 W, 0 %, 1189 MHz, 35, 359 MiB
1, 2018/08/08 16:56:00.041, 31.19 W, 0 %, 1189 MHz, 35, 359 MiB
1, 2018/08/08 16:56:01.045, 31.19 W, 0 %, 1189 MHz, 35, 359 MiB
1, 2018/08/08 16:56:02.048, 31.19 W, 0 %, 1189 MHz, 35, 485 MiB
1, 2018/08/08 16:56:03.056, 31.19 W, 9 %, 1189 MHz, 35, 943 MiB
1, 2018/08/08 16:56:04.059, 130.79 W, 99 %, 1328 MHz, 37, 5625 MiB
1, 2018/08/08 16:56:05.063, 36.31 W, 39 %, 1328 MHz, 36, 5625 MiB
1, 2018/08/08 16:56:06.066, 36.04 W, 0 %, 1328 MHz, 36, 5625 MiB
1, 2018/08/08 16:56:07.070, 36.55 W, 40 %, 1328 MHz, 36, 5625 MiB
1, 2018/08/08 16:56:08.074, 36.80 W, 18 %, 1328 MHz, 37, 5625 MiB
1, 2018/08/08 16:56:09.078, 36.31 W, 35 %, 1328 MHz, 37, 5625 MiB
1, 2018/08/08 16:56:10.081, 36.56 W, 31 %, 1328 MHz, 37, 5625 MiB
1, 2018/08/08 16:56:11.085, 36.31 W, 0 %, 1328 MHz, 37, 5625 MiB
1, 2018/08/08 16:56:12.088, 36.29 W, 40 %, 1328 MHz, 37, 5625 MiB
1, 2018/08/08 16:56:13.092, 36.28 W, 2 %, 1328 MHz, 37, 5625 MiB
1, 2018/08/08 16:56:14.096, 148.78 W, 0 %, 1328 MHz, 37, 5625 MiB
1, 2018/08/08 16:56:15.099, 36.56 W, 40 %, 1328 MHz, 37, 5625 MiB
