index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/06 16:40:47.048, 30.70 W, 0 %, 1177 MHz, 34, 0 MiB
0, 2018/08/06 16:40:52.064, 33.37 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/06 16:40:57.068, 33.37 W, 0 %, 1189 MHz, 34, 485 MiB
0, 2018/08/06 16:41:02.074, 38.48 W, 0 %, 1328 MHz, 35, 10745 MiB
0, 2018/08/06 16:41:07.078, 175.05 W, 80 %, 1328 MHz, 37, 10745 MiB
0, 2018/08/06 16:41:12.082, 38.72 W, 0 %, 1328 MHz, 36, 10745 MiB
0, 2018/08/06 16:41:17.086, 38.46 W, 0 %, 1328 MHz, 36, 10745 MiB
0, 2018/08/06 16:41:22.092, 38.97 W, 0 %, 1328 MHz, 37, 10745 MiB
0, 2018/08/06 16:41:27.096, 38.72 W, 0 %, 1328 MHz, 36, 10745 MiB
0, 2018/08/06 16:41:32.100, 39.21 W, 0 %, 1328 MHz, 37, 10745 MiB
0, 2018/08/06 16:41:37.104, 38.72 W, 0 %, 1328 MHz, 37, 10745 MiB
0, 2018/08/06 16:41:42.108, 150.50 W, 10 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 16:41:47.112, 39.21 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 16:41:52.116, 38.72 W, 0 %, 1328 MHz, 37, 10745 MiB
0, 2018/08/06 16:41:57.120, 157.42 W, 81 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 16:42:02.126, 39.21 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 16:42:07.131, 39.45 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 16:42:12.134, 39.70 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 16:42:17.138, 39.43 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 16:42:22.142, 40.92 W, 100 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 16:42:27.146, 39.94 W, 0 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 16:42:32.150, 39.94 W, 0 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 16:42:37.154, 39.45 W, 0 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 16:42:42.158, 39.21 W, 0 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 16:42:47.162, 40.43 W, 91 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 16:42:52.166, 39.67 W, 0 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 16:42:57.170, 39.45 W, 0 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 16:43:02.174, 39.94 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 16:43:07.178, 39.70 W, 0 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 16:43:12.182, 42.84 W, 100 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 16:43:17.186, 40.19 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 16:43:22.190, 34.58 W, 0 %, 1189 MHz, 40, 10745 MiB
0, 2018/08/06 16:43:27.194, 39.92 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 16:43:32.201, 40.18 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 16:43:37.204, 40.64 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 16:43:42.209, 40.40 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 16:43:47.216, 126.75 W, 16 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 16:43:52.220, 40.43 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 16:43:57.224, 40.19 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 16:44:02.230, 40.67 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 16:44:07.234, 40.40 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 16:44:12.238, 40.92 W, 61 %, 1328 MHz, 42, 10745 MiB
