index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/06 17:02:51.836, 31.43 W, 0 %, 1189 MHz, 35, 0 MiB
0, 2018/08/06 17:02:56.853, 33.37 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/06 17:03:01.857, 33.37 W, 0 %, 1189 MHz, 35, 485 MiB
0, 2018/08/06 17:03:06.861, 38.72 W, 0 %, 1328 MHz, 36, 10745 MiB
0, 2018/08/06 17:03:11.867, 38.24 W, 0 %, 1328 MHz, 36, 10745 MiB
0, 2018/08/06 17:03:16.870, 38.97 W, 0 %, 1328 MHz, 37, 10745 MiB
0, 2018/08/06 17:03:21.874, 38.72 W, 0 %, 1328 MHz, 37, 10745 MiB
0, 2018/08/06 17:03:26.878, 39.21 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 17:03:31.883, 38.96 W, 0 %, 1328 MHz, 37, 10745 MiB
0, 2018/08/06 17:03:36.887, 39.92 W, 84 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 17:03:41.891, 39.21 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 17:03:46.895, 38.72 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 17:03:51.900, 39.45 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 17:03:56.904, 38.72 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 17:04:01.908, 38.94 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 17:04:06.912, 39.43 W, 0 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 17:04:11.917, 39.45 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 17:04:16.921, 39.21 W, 0 %, 1328 MHz, 38, 10745 MiB
0, 2018/08/06 17:04:21.925, 40.19 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:04:26.929, 39.43 W, 0 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 17:04:31.933, 39.45 W, 0 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 17:04:36.937, 39.70 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:04:41.941, 39.70 W, 0 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 17:04:46.944, 44.06 W, 100 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:04:51.949, 39.70 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:04:56.953, 39.70 W, 0 %, 1328 MHz, 39, 10745 MiB
0, 2018/08/06 17:05:01.956, 39.94 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:05:06.960, 39.70 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:05:11.964, 40.18 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:05:16.968, 40.16 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:05:21.972, 161.03 W, 44 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:05:26.978, 40.43 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:05:31.982, 39.45 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:05:36.986, 178.19 W, 100 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:05:41.990, 39.94 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:05:46.995, 39.70 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:05:51.999, 42.35 W, 74 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:05:57.003, 39.94 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:06:02.006, 39.94 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:06:07.010, 40.43 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:06:12.014, 40.16 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:06:17.019, 39.94 W, 0 %, 1328 MHz, 40, 10745 MiB
0, 2018/08/06 17:06:22.023, 40.67 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:06:27.026, 40.43 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:06:32.030, 169.62 W, 83 %, 1328 MHz, 43, 10745 MiB
0, 2018/08/06 17:06:37.034, 40.43 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:06:42.040, 40.65 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:06:47.044, 40.67 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:06:52.048, 40.43 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:06:57.054, 40.89 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:07:02.058, 39.70 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:07:07.062, 40.92 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:07:12.065, 40.43 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:07:17.070, 40.19 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:07:22.074, 40.67 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:07:27.078, 40.18 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:07:32.082, 41.65 W, 53 %, 1328 MHz, 43, 10745 MiB
0, 2018/08/06 17:07:37.086, 40.43 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:07:42.090, 160.06 W, 100 %, 1328 MHz, 44, 10745 MiB
0, 2018/08/06 17:07:47.096, 39.70 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:07:52.103, 40.18 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:07:57.106, 40.67 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:08:02.110, 40.43 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:08:07.114, 40.67 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:08:12.118, 40.40 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:08:17.123, 40.43 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:08:22.126, 40.43 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:08:27.130, 40.43 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:08:32.135, 40.43 W, 25 %, 1328 MHz, 43, 10745 MiB
0, 2018/08/06 17:08:37.139, 39.94 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:08:42.143, 157.18 W, 29 %, 1328 MHz, 43, 10745 MiB
0, 2018/08/06 17:08:47.147, 40.43 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:08:52.151, 40.18 W, 0 %, 1328 MHz, 41, 10745 MiB
0, 2018/08/06 17:08:57.155, 40.92 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:09:02.159, 40.67 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:09:07.163, 190.74 W, 68 %, 1328 MHz, 44, 10745 MiB
0, 2018/08/06 17:09:12.167, 40.64 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:09:17.171, 35.31 W, 0 %, 1189 MHz, 42, 10745 MiB
0, 2018/08/06 17:09:22.175, 40.64 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:09:27.181, 40.42 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:09:32.185, 41.62 W, 42 %, 1328 MHz, 43, 10745 MiB
0, 2018/08/06 17:09:37.189, 40.89 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:09:42.193, 164.94 W, 100 %, 1328 MHz, 45, 10745 MiB
0, 2018/08/06 17:09:47.197, 40.89 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:09:52.202, 41.13 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:09:57.206, 44.29 W, 100 %, 1328 MHz, 44, 10745 MiB
0, 2018/08/06 17:10:02.212, 41.13 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:10:07.216, 154.76 W, 19 %, 1328 MHz, 43, 10745 MiB
0, 2018/08/06 17:10:12.220, 40.90 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:10:17.224, 40.89 W, 0 %, 1328 MHz, 42, 10745 MiB
0, 2018/08/06 17:10:22.228, 41.13 W, 0 %, 1328 MHz, 42, 10745 MiB
