index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/07 14:22:58.290, 32.17 W, 0 %, 1189 MHz, 35, 0 MiB
0, 2018/08/07 14:22:59.312, 33.14 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 14:23:00.316, 33.39 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 14:23:01.319, 33.39 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 14:23:02.323, 33.12 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 14:23:03.327, 32.88 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 14:23:04.330, 33.39 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 14:23:05.335, 33.12 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 14:23:06.339, 33.12 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 14:23:07.342, 33.12 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 14:23:08.346, 33.12 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 14:23:09.350, 32.88 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/07 14:23:10.354, 33.14 W, 5 %, 1189 MHz, 35, 485 MiB
0, 2018/08/07 14:23:11.357, 33.14 W, 0 %, 1189 MHz, 35, 493 MiB
0, 2018/08/07 14:23:12.361, 33.63 W, 7 %, 1189 MHz, 35, 3053 MiB
0, 2018/08/07 14:23:13.365, 38.72 W, 0 %, 1328 MHz, 36, 9209 MiB
0, 2018/08/07 14:23:14.369, 42.84 W, 62 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 14:23:15.373, 38.48 W, 0 %, 1328 MHz, 36, 9209 MiB
0, 2018/08/07 14:23:16.377, 38.72 W, 0 %, 1328 MHz, 36, 9209 MiB
0, 2018/08/07 14:23:17.381, 104.69 W, 0 %, 1189 MHz, 36, 9209 MiB
0, 2018/08/07 14:23:18.384, 37.75 W, 0 %, 1316 MHz, 36, 9209 MiB
0, 2018/08/07 14:23:19.388, 37.75 W, 0 %, 1328 MHz, 36, 9209 MiB
0, 2018/08/07 14:23:20.392, 38.48 W, 0 %, 1328 MHz, 36, 9209 MiB
0, 2018/08/07 14:23:21.396, 37.99 W, 0 %, 1328 MHz, 36, 9209 MiB
0, 2018/08/07 14:23:22.400, 38.72 W, 0 %, 1328 MHz, 36, 9209 MiB
0, 2018/08/07 14:23:23.403, 38.72 W, 0 %, 1328 MHz, 36, 9209 MiB
0, 2018/08/07 14:23:24.407, 39.21 W, 62 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 14:23:25.411, 54.00 W, 0 %, 1328 MHz, 36, 9209 MiB
0, 2018/08/07 14:23:26.414, 38.72 W, 0 %, 1328 MHz, 36, 9209 MiB
