index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/08 14:16:29.131, 29.25 W, 0 %, 1189 MHz, 35, 0 MiB
0, 2018/08/08 14:16:30.138, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 14:16:31.142, 30.70 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 14:16:32.146, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 14:16:33.149, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 14:16:34.153, 30.71 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 14:16:35.157, 30.70 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 14:16:36.161, 30.70 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 14:16:37.164, 30.70 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 14:16:38.168, 30.70 W, 0 %, 1189 MHz, 35, 485 MiB
0, 2018/08/08 14:16:39.172, 30.95 W, 4 %, 1189 MHz, 35, 3019 MiB
0, 2018/08/08 14:16:40.176, 36.04 W, 53 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 14:16:41.180, 64.87 W, 0 %, 1328 MHz, 36, 9209 MiB
0, 2018/08/08 14:16:42.183, 36.05 W, 9 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 14:16:43.187, 142.72 W, 47 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 14:16:44.191, 137.31 W, 1 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 14:16:45.195, 36.05 W, 46 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 14:16:46.198, 170.12 W, 27 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 14:16:47.202, 90.27 W, 50 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 14:16:48.206, 41.64 W, 63 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 14:16:49.212, 39.69 W, 64 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 14:16:50.216, 35.80 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 14:16:51.219, 36.05 W, 3 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 14:16:52.223, 36.28 W, 29 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 14:16:53.230, 36.53 W, 63 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 14:16:54.234, 52.57 W, 49 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 14:16:55.238, 154.37 W, 2 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 14:16:56.241, 37.99 W, 63 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 14:16:57.245, 36.28 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 14:16:58.249, 154.59 W, 30 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 14:16:59.252, 134.01 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 14:17:00.256, 36.28 W, 46 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 14:17:01.259, 35.80 W, 53 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 14:17:02.263, 36.53 W, 63 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 14:17:03.267, 38.48 W, 61 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 14:17:04.271, 123.91 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 14:17:05.274, 36.53 W, 37 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 14:17:06.278, 41.15 W, 52 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 14:17:07.281, 154.85 W, 0 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 14:17:08.285, 36.53 W, 32 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 14:17:09.289, 36.53 W, 50 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 14:17:10.292, 36.53 W, 56 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 14:17:11.296, 36.53 W, 62 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 14:17:12.299, 61.02 W, 34 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 14:17:13.303, 151.95 W, 0 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 14:17:14.307, 159.60 W, 12 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 14:17:15.310, 160.30 W, 12 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 14:17:16.314, 151.23 W, 0 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 14:17:17.321, 36.53 W, 4 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 14:17:18.325, 75.55 W, 25 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 14:17:19.328, 79.91 W, 0 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 14:17:20.332, 36.78 W, 30 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 14:17:21.336, 36.77 W, 49 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 14:17:22.339, 37.51 W, 54 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 14:17:23.343, 37.75 W, 52 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 14:17:24.346, 146.17 W, 0 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 14:17:25.350, 36.77 W, 9 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 14:17:26.357, 78.42 W, 8 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 14:17:27.360, 36.77 W, 48 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 14:17:28.366, 37.01 W, 64 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 14:17:29.369, 150.99 W, 1 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 14:17:30.375, 151.71 W, 4 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:31.379, 101.06 W, 0 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 14:17:32.383, 36.78 W, 48 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 14:17:33.386, 39.45 W, 31 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 14:17:34.393, 36.77 W, 15 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 14:17:35.397, 37.04 W, 63 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 14:17:36.401, 37.26 W, 49 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:37.404, 37.26 W, 59 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 14:17:38.408, 160.54 W, 0 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:39.412, 155.09 W, 16 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:40.415, 66.12 W, 10 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 14:17:41.419, 143.35 W, 19 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:42.423, 37.02 W, 62 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:43.429, 38.96 W, 24 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:44.433, 150.82 W, 0 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:45.436, 37.28 W, 62 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:46.440, 37.50 W, 36 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:47.444, 74.10 W, 0 %, 1328 MHz, 44, 9209 MiB
0, 2018/08/08 14:17:48.448, 150.75 W, 3 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:49.451, 37.26 W, 58 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:50.455, 95.11 W, 0 %, 1328 MHz, 44, 9209 MiB
0, 2018/08/08 14:17:51.458, 170.84 W, 0 %, 1328 MHz, 44, 9209 MiB
0, 2018/08/08 14:17:52.462, 151.95 W, 23 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 14:17:53.466, 129.42 W, 29 %, 1328 MHz, 43, 9209 MiB
