index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/07 13:54:01.132, 30.70 W, 0 %, 1189 MHz, 36, 0 MiB
0, 2018/08/07 13:54:02.140, 33.61 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 13:54:03.143, 33.39 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 13:54:04.147, 33.39 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 13:54:05.152, 33.39 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 13:54:06.156, 33.39 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 13:54:07.160, 33.37 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 13:54:08.163, 33.37 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 13:54:09.167, 33.37 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 13:54:10.171, 33.39 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 13:54:11.175, 33.37 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 13:54:12.178, 33.37 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/07 13:54:13.182, 33.37 W, 2 %, 1189 MHz, 36, 493 MiB
0, 2018/08/07 13:54:14.186, 33.61 W, 8 %, 1189 MHz, 36, 3045 MiB
0, 2018/08/07 13:54:15.191, 38.97 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:16.194, 38.48 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:17.198, 38.97 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:18.202, 38.97 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:19.205, 38.72 W, 0 %, 1328 MHz, 36, 9209 MiB
0, 2018/08/07 13:54:20.210, 38.72 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:21.213, 38.72 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:22.217, 38.96 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:23.221, 38.94 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:24.224, 38.72 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:25.229, 38.97 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:26.233, 132.55 W, 1 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:27.236, 38.94 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:28.240, 38.97 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:29.244, 39.21 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:30.248, 38.97 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:31.252, 38.97 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:32.255, 38.72 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:33.259, 38.97 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:34.263, 33.39 W, 0 %, 1189 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:35.268, 37.75 W, 66 %, 1316 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:36.271, 37.75 W, 0 %, 1316 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:37.275, 38.24 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:38.278, 38.72 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:39.282, 39.45 W, 58 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/07 13:54:40.286, 38.97 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/07 13:54:41.290, 38.97 W, 0 %, 1328 MHz, 37, 9209 MiB
