index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
1, 2018/08/08 17:26:11.832, 27.29 W, 0 %, 405 MHz, 36, 0 MiB
1, 2018/08/08 17:26:12.860, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:26:13.864, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:26:14.867, 31.43 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:26:15.871, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:26:16.874, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:26:17.878, 31.43 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:26:18.885, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:26:19.888, 31.43 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:26:20.892, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:26:21.895, 31.43 W, 0 %, 1189 MHz, 36, 485 MiB
1, 2018/08/08 17:26:22.900, 31.19 W, 0 %, 1189 MHz, 36, 2949 MiB
1, 2018/08/08 17:26:23.903, 31.43 W, 1 %, 1189 MHz, 36, 2965 MiB
1, 2018/08/08 17:26:24.907, 31.19 W, 1 %, 1189 MHz, 36, 2987 MiB
1, 2018/08/08 17:26:25.910, 31.43 W, 4 %, 1189 MHz, 36, 3055 MiB
1, 2018/08/08 17:26:26.914, 36.53 W, 0 %, 1328 MHz, 37, 9209 MiB
1, 2018/08/08 17:26:27.921, 36.80 W, 62 %, 1328 MHz, 37, 9209 MiB
1, 2018/08/08 17:26:28.925, 36.78 W, 49 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:26:29.928, 38.51 W, 25 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:26:30.932, 36.80 W, 11 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:26:31.935, 143.54 W, 0 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:26:32.939, 37.02 W, 43 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:26:33.943, 36.80 W, 48 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:26:34.946, 36.80 W, 62 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:26:35.950, 154.09 W, 0 %, 1328 MHz, 39, 9209 MiB
1, 2018/08/08 17:26:36.953, 37.04 W, 63 %, 1328 MHz, 38, 9209 MiB
