index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/25 17:50:25.674, 33.76 W, 27 %, 1189 MHz, 35, 6649 MiB
0, 2018/08/25 17:50:26.679, 33.77 W, 0 %, 1189 MHz, 35, 6998 MiB
0, 2018/08/25 17:50:27.686, 104.87 W, 17 %, 1189 MHz, 36, 6998 MiB
0, 2018/08/25 17:50:28.690, 33.76 W, 27 %, 1189 MHz, 36, 6998 MiB
0, 2018/08/25 17:50:29.694, 33.52 W, 0 %, 1189 MHz, 35, 6998 MiB
0, 2018/08/25 17:50:30.699, 33.76 W, 0 %, 1189 MHz, 36, 6998 MiB
0, 2018/08/25 17:50:31.703, 33.76 W, 0 %, 1189 MHz, 36, 6998 MiB
0, 2018/08/25 17:50:32.707, 33.76 W, 0 %, 1189 MHz, 35, 7124 MiB
0, 2018/08/25 17:50:33.711, 34.25 W, 14 %, 1189 MHz, 36, 9084 MiB
0, 2018/08/25 17:50:34.715, 152.48 W, 74 %, 1328 MHz, 37, 13288 MiB
0, 2018/08/25 17:50:35.720, 40.59 W, 53 %, 1328 MHz, 37, 13288 MiB
0, 2018/08/25 17:50:36.724, 52.02 W, 25 %, 1328 MHz, 37, 13288 MiB
0, 2018/08/25 17:50:37.728, 40.34 W, 0 %, 1328 MHz, 36, 13288 MiB
0, 2018/08/25 17:50:38.732, 40.59 W, 25 %, 1328 MHz, 37, 13288 MiB
0, 2018/08/25 17:50:39.737, 40.59 W, 7 %, 1328 MHz, 37, 13288 MiB
0, 2018/08/25 17:50:40.740, 40.59 W, 40 %, 1328 MHz, 37, 13288 MiB
0, 2018/08/25 17:50:41.744, 40.59 W, 6 %, 1328 MHz, 37, 13288 MiB
0, 2018/08/25 17:50:42.748, 149.26 W, 8 %, 1328 MHz, 38, 13288 MiB
0, 2018/08/25 17:50:43.754, 40.59 W, 0 %, 1328 MHz, 37, 13288 MiB
0, 2018/08/25 17:50:44.758, 41.08 W, 53 %, 1328 MHz, 38, 13288 MiB
0, 2018/08/25 17:50:45.761, 155.12 W, 28 %, 1328 MHz, 38, 13288 MiB
