index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/20 16:38:42.310, 30.69 W, 0 %, 1189 MHz, 35, 0 MiB
0, 2018/08/20 16:38:43.325, 31.66 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/20 16:38:44.330, 31.66 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/20 16:38:45.334, 31.66 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/20 16:38:46.338, 31.66 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/20 16:38:47.341, 31.66 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/20 16:38:48.345, 31.66 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/20 16:38:49.350, 31.66 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/20 16:38:50.354, 31.66 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/20 16:38:51.358, 31.90 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/20 16:38:52.361, 31.90 W, 0 %, 1189 MHz, 35, 499 MiB
0, 2018/08/20 16:38:53.365, 118.36 W, 17 %, 1189 MHz, 37, 3065 MiB
0, 2018/08/20 16:38:54.371, 37.24 W, 63 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/20 16:38:55.374, 37.73 W, 41 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/20 16:38:56.378, 38.94 W, 64 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/20 16:38:57.381, 84.92 W, 62 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/20 16:38:58.388, 37.24 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/20 16:38:59.392, 37.48 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/20 16:39:00.395, 37.73 W, 47 %, 1328 MHz, 38, 9217 MiB
0, 2018/08/20 16:39:01.408, 38.46 W, 61 %, 1328 MHz, 39, 9566 MiB
0, 2018/08/20 16:39:02.412, 40.40 W, 62 %, 1328 MHz, 39, 9566 MiB
0, 2018/08/20 16:39:03.416, 75.51 W, 0 %, 1328 MHz, 38, 9566 MiB
0, 2018/08/20 16:39:04.421, 160.37 W, 41 %, 1328 MHz, 39, 9566 MiB
0, 2018/08/20 16:39:05.426, 164.86 W, 30 %, 1328 MHz, 40, 9566 MiB
0, 2018/08/20 16:39:06.430, 38.21 W, 0 %, 1328 MHz, 39, 9566 MiB
0, 2018/08/20 16:39:07.446, 37.97 W, 0 %, 1328 MHz, 38, 9692 MiB
0, 2018/08/20 16:39:08.450, 38.21 W, 24 %, 1328 MHz, 39, 9702 MiB
0, 2018/08/20 16:39:09.454, 153.65 W, 40 %, 1328 MHz, 40, 10170 MiB
