index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/20 15:22:52.354, 30.93 W, 0 %, 1189 MHz, 35, 0 MiB
0, 2018/08/20 15:22:53.368, 31.66 W, 0 %, 1189 MHz, 35, 299 MiB
0, 2018/08/20 15:22:54.372, 31.66 W, 1 %, 1189 MHz, 35, 305 MiB
0, 2018/08/20 15:22:55.378, 31.66 W, 0 %, 1189 MHz, 36, 307 MiB
0, 2018/08/20 15:22:56.381, 31.66 W, 0 %, 1189 MHz, 36, 313 MiB
0, 2018/08/20 15:22:57.385, 31.90 W, 2 %, 1189 MHz, 36, 325 MiB
0, 2018/08/20 15:22:58.389, 31.90 W, 1 %, 1189 MHz, 35, 339 MiB
0, 2018/08/20 15:22:59.393, 31.90 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/20 15:23:00.397, 31.90 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/20 15:23:01.401, 31.66 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/20 15:23:02.405, 31.90 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/20 15:23:03.408, 31.90 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/20 15:23:04.412, 31.66 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/20 15:23:05.416, 31.90 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/20 15:23:06.419, 31.90 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/20 15:23:07.423, 31.66 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/20 15:23:08.426, 31.90 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/20 15:23:09.430, 31.66 W, 0 %, 1189 MHz, 36, 359 MiB
0, 2018/08/20 15:23:10.436, 31.90 W, 0 %, 1189 MHz, 36, 485 MiB
0, 2018/08/20 15:23:11.439, 31.66 W, 0 %, 1189 MHz, 36, 2949 MiB
0, 2018/08/20 15:23:12.443, 31.66 W, 0 %, 1189 MHz, 36, 2957 MiB
0, 2018/08/20 15:23:13.446, 31.90 W, 2 %, 1189 MHz, 36, 2973 MiB
0, 2018/08/20 15:23:14.450, 31.90 W, 3 %, 1189 MHz, 36, 3023 MiB
0, 2018/08/20 15:23:15.455, 128.62 W, 57 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/20 15:23:16.459, 85.16 W, 1 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/20 15:23:17.462, 37.00 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/20 15:23:18.466, 37.48 W, 10 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/20 15:23:19.470, 37.73 W, 54 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/20 15:23:20.473, 37.48 W, 3 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/20 15:23:21.477, 37.01 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/20 15:23:22.480, 42.59 W, 62 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/20 15:23:23.484, 154.28 W, 19 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/20 15:23:24.488, 149.45 W, 12 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/20 15:23:25.492, 37.50 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/20 15:23:26.496, 147.35 W, 9 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/20 15:23:27.500, 37.48 W, 0 %, 1328 MHz, 38, 9217 MiB
0, 2018/08/20 15:23:28.598, 39.92 W, 24 %, 1328 MHz, 39, 9566 MiB
0, 2018/08/20 15:23:29.602, 157.90 W, 0 %, 1328 MHz, 39, 9566 MiB
0, 2018/08/20 15:23:30.605, 140.67 W, 33 %, 1328 MHz, 39, 9566 MiB
0, 2018/08/20 15:23:31.610, 37.99 W, 0 %, 1328 MHz, 39, 9566 MiB
0, 2018/08/20 15:23:32.614, 156.59 W, 0 %, 1328 MHz, 40, 9566 MiB
0, 2018/08/20 15:23:33.618, 38.21 W, 36 %, 1328 MHz, 39, 9692 MiB
0, 2018/08/20 15:23:34.621, 153.56 W, 0 %, 1328 MHz, 39, 9692 MiB
0, 2018/08/20 15:23:35.625, 38.23 W, 63 %, 1328 MHz, 39, 10140 MiB
0, 2018/08/20 15:23:36.628, 142.13 W, 19 %, 1328 MHz, 41, 14832 MiB
0, 2018/08/20 15:23:37.632, 52.54 W, 100 %, 1328 MHz, 42, 14832 MiB
0, 2018/08/20 15:23:38.635, 38.70 W, 37 %, 1328 MHz, 40, 14832 MiB
0, 2018/08/20 15:23:39.639, 38.69 W, 87 %, 1328 MHz, 40, 14832 MiB
0, 2018/08/20 15:23:40.643, 79.14 W, 0 %, 1328 MHz, 41, 14832 MiB
0, 2018/08/20 15:23:41.648, 38.70 W, 35 %, 1328 MHz, 40, 14832 MiB
0, 2018/08/20 15:23:42.651, 41.62 W, 63 %, 1328 MHz, 41, 14832 MiB
0, 2018/08/20 15:23:43.655, 51.81 W, 42 %, 1328 MHz, 41, 14832 MiB
0, 2018/08/20 15:23:44.659, 38.70 W, 61 %, 1328 MHz, 40, 14832 MiB
0, 2018/08/20 15:23:45.662, 38.94 W, 80 %, 1328 MHz, 40, 14832 MiB
0, 2018/08/20 15:23:46.666, 68.99 W, 26 %, 1328 MHz, 42, 14832 MiB
0, 2018/08/20 15:23:47.670, 38.94 W, 30 %, 1328 MHz, 41, 14832 MiB
0, 2018/08/20 15:23:48.673, 41.62 W, 9 %, 1328 MHz, 42, 14832 MiB
0, 2018/08/20 15:23:49.677, 45.49 W, 40 %, 1328 MHz, 42, 14832 MiB
