index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/28 00:42:38.181, 30.93 W, 0 %, 1189 MHz, 35, 5625 MiB
0, 2018/08/28 00:42:39.196, 30.95 W, 0 %, 1189 MHz, 35, 5982 MiB
0, 2018/08/28 00:42:40.200, 30.95 W, 0 %, 1189 MHz, 35, 5982 MiB
0, 2018/08/28 00:42:41.203, 30.93 W, 0 %, 1189 MHz, 35, 5982 MiB
0, 2018/08/28 00:42:42.210, 30.93 W, 0 %, 1189 MHz, 35, 5982 MiB
0, 2018/08/28 00:42:43.214, 30.93 W, 0 %, 1189 MHz, 35, 5982 MiB
0, 2018/08/28 00:42:44.217, 30.93 W, 0 %, 1189 MHz, 35, 5982 MiB
0, 2018/08/28 00:42:45.221, 30.93 W, 0 %, 1189 MHz, 35, 5982 MiB
0, 2018/08/28 00:42:46.225, 30.93 W, 0 %, 1189 MHz, 35, 5982 MiB
0, 2018/08/28 00:42:47.230, 30.93 W, 0 %, 1189 MHz, 35, 5982 MiB
0, 2018/08/28 00:42:48.233, 30.93 W, 5 %, 1189 MHz, 35, 6108 MiB
0, 2018/08/28 00:42:49.237, 30.95 W, 2 %, 1189 MHz, 35, 6112 MiB
0, 2018/08/28 00:42:50.241, 30.93 W, 6 %, 1189 MHz, 35, 8626 MiB
0, 2018/08/28 00:42:51.245, 147.12 W, 100 %, 1328 MHz, 37, 10736 MiB
0, 2018/08/28 00:42:52.249, 35.80 W, 42 %, 1328 MHz, 36, 14832 MiB
0, 2018/08/28 00:42:53.252, 36.04 W, 62 %, 1328 MHz, 37, 14832 MiB
0, 2018/08/28 00:42:54.256, 140.93 W, 3 %, 1328 MHz, 37, 14832 MiB
0, 2018/08/28 00:42:55.259, 35.80 W, 0 %, 1328 MHz, 37, 14832 MiB
0, 2018/08/28 00:42:56.263, 36.28 W, 62 %, 1328 MHz, 37, 14832 MiB
0, 2018/08/28 00:42:57.267, 36.04 W, 40 %, 1328 MHz, 37, 14832 MiB
0, 2018/08/28 00:42:58.271, 36.04 W, 0 %, 1328 MHz, 37, 14832 MiB
0, 2018/08/28 00:42:59.274, 36.28 W, 62 %, 1328 MHz, 37, 14832 MiB
0, 2018/08/28 00:43:00.278, 144.71 W, 13 %, 1328 MHz, 38, 14832 MiB
0, 2018/08/28 00:43:01.281, 36.28 W, 63 %, 1328 MHz, 38, 14832 MiB
0, 2018/08/28 00:43:02.285, 36.28 W, 63 %, 1328 MHz, 38, 14832 MiB
0, 2018/08/28 00:43:03.289, 35.80 W, 0 %, 1328 MHz, 37, 14832 MiB
0, 2018/08/28 00:43:04.292, 109.46 W, 0 %, 1328 MHz, 37, 14832 MiB
0, 2018/08/28 00:43:05.296, 35.81 W, 0 %, 1328 MHz, 37, 14832 MiB
0, 2018/08/28 00:43:06.299, 36.04 W, 59 %, 1328 MHz, 38, 14832 MiB
0, 2018/08/28 00:43:07.303, 36.28 W, 54 %, 1328 MHz, 38, 14832 MiB
0, 2018/08/28 00:43:08.306, 36.53 W, 38 %, 1328 MHz, 38, 14832 MiB
0, 2018/08/28 00:43:09.310, 36.53 W, 18 %, 1328 MHz, 38, 14832 MiB
