index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/25 17:49:21.037, 28.15 W, 0 %, 405 MHz, 33, 0 MiB
0, 2018/08/25 17:49:22.042, 32.78 W, 2 %, 1189 MHz, 33, 359 MiB
0, 2018/08/25 17:49:23.047, 33.03 W, 0 %, 1189 MHz, 33, 359 MiB
0, 2018/08/25 17:49:24.054, 33.03 W, 0 %, 1189 MHz, 33, 359 MiB
0, 2018/08/25 17:49:25.058, 33.03 W, 0 %, 1189 MHz, 33, 359 MiB
0, 2018/08/25 17:49:26.063, 33.03 W, 0 %, 1189 MHz, 33, 359 MiB
0, 2018/08/25 17:49:27.067, 33.03 W, 0 %, 1189 MHz, 33, 359 MiB
0, 2018/08/25 17:49:28.072, 33.03 W, 0 %, 1189 MHz, 33, 359 MiB
0, 2018/08/25 17:49:29.077, 33.28 W, 5 %, 1189 MHz, 33, 485 MiB
0, 2018/08/25 17:49:30.081, 33.03 W, 0 %, 1189 MHz, 33, 485 MiB
0, 2018/08/25 17:49:31.085, 33.27 W, 5 %, 1189 MHz, 33, 2505 MiB
0, 2018/08/25 17:49:32.090, 47.90 W, 25 %, 1328 MHz, 35, 6649 MiB
0, 2018/08/25 17:49:33.094, 145.38 W, 15 %, 1328 MHz, 35, 6649 MiB
0, 2018/08/25 17:49:34.098, 39.61 W, 26 %, 1328 MHz, 34, 6649 MiB
0, 2018/08/25 17:49:35.102, 35.46 W, 26 %, 1189 MHz, 34, 6649 MiB
0, 2018/08/25 17:49:36.106, 33.52 W, 0 %, 1189 MHz, 34, 6649 MiB
0, 2018/08/25 17:49:37.110, 33.27 W, 0 %, 1189 MHz, 34, 6649 MiB
0, 2018/08/25 17:49:38.115, 33.52 W, 0 %, 1189 MHz, 34, 6649 MiB
0, 2018/08/25 17:49:39.119, 33.52 W, 0 %, 1189 MHz, 34, 6649 MiB
0, 2018/08/25 17:49:40.123, 101.04 W, 0 %, 1189 MHz, 34, 6649 MiB
0, 2018/08/25 17:49:41.127, 33.52 W, 27 %, 1189 MHz, 34, 6649 MiB
0, 2018/08/25 17:49:42.131, 33.52 W, 0 %, 1189 MHz, 34, 6649 MiB
