bicycle,building,bus,car,fence,license plate,motorcycle,person,pole,rider,road,sidewalk,sky,terrain,traffic light,traffic sign,train,truck,vegetation,wall,frame,y
16905,0,0,1,0,0,577,29760,0,0,0,0,0,0,0,22925,0,0,8834,0,005945,urban
23640,0,0,0,0,0,84,33769,0,0,0,0,0,0,0,15226,0,0,6283,0,002652,urban
44692,0,0,827,0,0,568,5577,0,0,0,0,0,0,0,23111,0,0,4227,0,005506,urban
45159,0,0,0,0,0,2046,2689,0,27,0,0,0,0,0,25962,0,0,3119,0,006109,urban
56317,0,0,34,0,0,4,3710,0,135,0,0,0,0,0,16497,0,0,2305,0,004771,urban
36284,0,0,178,0,0,997,21757,0,0,0,0,0,0,0,1682,0,0,18617,0,002144,urban
27294,0,0,0,0,0,731,18540,0,0,0,0,0,0,0,29349,0,0,3088,0,002033,urban
42189,0,0,54,0,0,939,5502,0,489,0,0,0,0,0,26070,0,0,3759,0,005417,urban
54809,0,0,14,0,0,269,4045,0,0,0,0,0,0,0,19500,0,0,365,0,001112,urban
40841,0,0,9,0,0,4483,87,0,0,0,0,0,0,0,29856,0,0,3726,0,004204,urban
32914,0,0,0,0,0,195,6160,0,3216,0,0,0,0,0,30717,0,0,5800,0,005364,urban
33540,0,0,369,0,0,371,22472,0,0,0,0,0,0,0,18304,0,0,3946,0,006779,urban
19509,0,0,0,0,0,200,37203,0,0,0,0,0,0,0,21921,0,0,169,0,007301,urban
30635,0,0,127,0,0,1277,27456,0,0,0,0,0,0,0,2936,0,0,17084,0,003576,urban
49431,0,0,0,0,0,1396,5282,0,0,0,0,0,0,0,18367,0,0,4526,0,002859,urban
49254,0,0,687,0,0,796,4597,0,0,0,0,0,0,0,20388,0,0,3280,0,000374,urban
44395,0,0,0,0,0,2360,3803,0,3,0,0,0,0,0,26796,0,0,1645,0,006877,urban
50857,0,0,13,0,0,5524,7178,0,0,0,0,0,0,0,15261,0,0,682,0,003454,urban
45884,0,0,0,0,0,655,206,0,0,0,0,0,0,0,31275,0,0,982,0,004090,urban
31938,0,0,0,0,0,1847,26010,0,0,0,0,0,0,0,17615,0,0,1592,0,006926,urban
43001,0,0,0,0,0,1180,6466,0,2747,0,0,0,0,0,21030,0,0,4578,0,003887,urban
49122,0,0,0,0,0,0,8188,0,26,0,0,0,0,0,20217,0,0,1449,0,002983,urban
9218,0,0,1,0,0,1306,43924,0,0,0,0,0,0,0,20398,0,0,4155,0,002870,urban
58376,0,0,0,0,0,1202,1838,0,0,0,0,0,0,0,16983,0,0,603,0,003953,urban
49051,0,0,365,0,0,274,17565,0,0,0,0,0,0,0,11547,0,0,200,0,006904,urban
27532,0,0,8771,0,0,4012,10227,0,0,0,0,0,0,0,19740,0,0,8720,0,005936,urban
55501,0,0,0,0,0,559,4077,0,0,0,0,0,0,0,16318,0,0,2547,0,006188,urban
33909,0,0,615,0,0,125,25265,0,0,0,0,0,0,0,16436,0,0,2652,0,007393,urban
26997,0,0,0,0,0,1421,19501,0,0,0,0,0,0,0,30089,0,0,994,0,005220,urban
40719,0,0,68,0,0,1089,17319,0,0,0,0,0,0,0,7452,0,0,12868,0,007077,urban
29727,0,0,0,0,0,1293,16361,0,0,0,0,0,0,0,27300,0,0,4321,0,005208,urban
35032,0,0,179,0,0,1434,21565,0,1,0,0,0,0,0,4609,0,0,16695,0,007075,urban
54929,0,0,63,0,0,1441,498,0,0,0,0,0,0,0,18726,0,0,3345,0,001962,urban
53576,0,0,0,0,0,1471,6851,0,0,0,0,0,0,0,16080,0,0,1024,0,003749,urban
47563,0,0,0,0,0,222,14073,0,0,0,0,0,0,0,12898,0,0,4246,0,006183,urban
30338,0,0,90,0,0,973,28051,0,0,0,0,0,0,0,1724,0,0,18339,0,002799,urban
18979,0,0,791,0,0,59,33939,0,4704,0,0,0,0,0,10672,0,0,9858,0,002026,urban
52785,0,0,0,0,0,1301,8354,0,0,0,0,0,0,0,16562,0,0,0,0,003014,urban
39971,0,0,5,0,0,2007,5398,0,1,0,0,0,0,0,27977,0,0,3643,0,005169,urban
41113,0,0,0,0,0,1328,15524,0,0,0,0,0,0,0,15099,0,0,5938,0,006260,urban
19516,0,0,0,0,0,892,42795,0,0,0,0,0,0,0,12015,0,0,3784,0,005953,urban
52860,0,0,0,0,0,905,5629,0,0,0,0,0,0,0,16808,0,0,2800,0,007106,urban
26233,0,0,54,0,0,1044,29675,0,85,0,0,0,0,0,1763,0,0,20661,0,002769,urban
24113,0,0,5109,0,0,1930,22015,0,0,0,0,0,0,0,20357,0,0,5478,0,004774,urban
29312,0,0,93,0,0,950,29197,0,0,0,0,0,0,0,1989,0,0,17974,0,000695,urban
19958,0,0,9712,0,0,646,25704,0,471,0,0,0,0,0,22129,0,0,382,0,003016,urban
53738,0,0,825,0,0,393,4501,0,601,0,0,0,0,0,18231,0,0,713,0,000882,urban
