building,bus,car,fence,motorcycle,person,pole,rider,road,sidewalk,sky,terrain,traffic light,traffic sign,train,truck,vegetation,wall,y
29760,3,300,1,0,1813,577,0,22925,8834,2461,0,51,46,0,26,12205,0,1
33769,1,10569,0,0,972,84,0,15226,6283,869,82,0,0,0,3476,7671,0,1
5577,0,1236,827,0,152,568,0,23111,4227,5183,9536,1,1,0,0,28583,0,1
2689,0,2070,0,0,10,2046,0,25962,3119,6578,6734,11,517,0,8,29231,27,1
3710,0,1233,34,0,0,4,0,16497,2305,923,15409,0,0,0,0,38752,135,1
21757,5146,260,178,5632,1654,997,34,1682,18617,0,1,19,0,51,1176,22311,0,1
18540,0,3873,0,0,202,731,0,29349,3088,5717,0,64,0,1,272,17165,0,1
5502,0,2972,54,2,77,939,0,26070,3759,7313,4460,3,32,0,0,27330,489,1
4045,1,2465,14,278,135,269,369,19500,365,4170,11615,71,97,0,1,35607,0,1
87,0,3859,9,0,111,4483,0,29856,3726,18075,18,1612,275,0,0,16891,0,1
6160,0,625,0,0,267,195,0,30717,5800,9915,0,0,0,4,18,22085,3216,1
22472,92,9963,369,0,46,371,0,18304,3946,2233,544,0,0,0,112,20550,0,1
37203,0,9884,0,2610,6,200,921,21921,169,2859,0,0,9,0,0,3220,0,1
27456,3595,407,127,5616,2075,1277,0,2936,17084,0,162,0,0,28,148,18604,0,1
5282,0,7201,0,0,11,1396,0,18367,4526,3128,10419,534,0,0,1,28137,0,1
4597,39,1390,687,0,4,796,0,20388,3280,3081,9067,0,10,0,36,35627,0,1
3803,0,8392,0,0,145,2360,4,26796,1645,20741,2919,1254,924,0,4,10012,3,1
7178,20,161,13,8130,1179,5524,3572,15261,682,2868,0,3,3,12,1125,33784,0,1
206,3818,4300,0,9,841,655,248,31275,982,10413,1466,544,10,0,191,24044,0,1
26010,157,10848,0,0,1737,1847,0,17615,1592,2942,4338,1230,305,0,2,10379,0,1
6466,0,5883,0,792,0,1180,0,21030,4578,4535,289,23,378,0,7,31094,2747,1
8188,0,4478,0,0,18,0,0,20217,1449,5224,12096,5,64,0,5,27232,26,1
43924,0,418,1,270,1339,1306,404,20398,4155,0,0,0,213,0,5,6569,0,1
1838,0,690,0,0,0,1202,0,16983,603,1741,12215,0,1960,0,0,41770,0,1
17565,0,21899,365,678,172,274,0,11547,200,2720,0,0,28,0,3,23551,0,1
10227,781,3140,8771,0,48,4012,0,19740,8720,7665,3815,3,579,0,3059,8442,0,1
4077,0,1054,0,0,89,559,0,16318,2547,5543,16049,9,0,0,0,32757,0,1
25265,0,18023,615,458,341,125,0,16436,2652,2815,3,0,136,0,0,12133,0,1
19501,0,6194,0,322,72,1421,6,30089,994,8560,299,70,549,0,1,10924,0,1
17319,3922,4072,68,4802,2145,1089,0,7452,12868,0,15,2,0,0,7839,17922,0,1
16361,0,422,0,446,146,1293,56,27300,4321,2456,1848,503,9,240,2,23599,0,1
